img_size,in_channel,input_size,kernel_size,macs,out_channel,stride
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,58150388736.0,1024.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,4719616.0,1024.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,42476544.0,1024.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,169906176.0,1024.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,571073536.0,1024.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,2284294144.0,1024.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,9557222400.0,1024.0,5.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,1607200.0,32.0,1.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,6428800.0,32.0,1.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,25715200.0,32.0,1.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,102860800.0,32.0,1.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,411443200.0,32.0,1.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,1645772800.0,32.0,1.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,524800.0,32.0,2.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,1607200.0,32.0,2.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,6428800.0,32.0,2.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,25715200.0,32.0,2.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,102860800.0,32.0,2.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,411443200.0,32.0,2.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,131200.0,32.0,5.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,295200.0,32.0,5.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,1180800.0,32.0,5.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,4723200.0,32.0,5.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,17351200.0,32.0,5.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,66420000.0,32.0,5.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,7373600.0,32.0,1.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,42471936.0,32.0,1.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,199382144.0,32.0,1.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",3.0,860056704.0,32.0,1.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",3.0,3568822400.0,32.0,1.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",3.0,14536020096.0,32.0,1.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,2654496.0,32.0,2.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,10617984.0,32.0,2.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,49845536.0,32.0,2.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",3.0,215014176.0,32.0,2.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",3.0,892205600.0,32.0,2.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",3.0,3634005024.0,32.0,2.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,294944.0,32.0,5.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,2654496.0,32.0,5.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,10617984.0,32.0,5.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",3.0,35688224.0,32.0,5.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",3.0,142752896.0,32.0,5.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",3.0,597261600.0,32.0,5.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,3214400.0,64.0,1.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,12857600.0,64.0,1.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,51430400.0,64.0,1.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,205721600.0,64.0,1.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,822886400.0,64.0,1.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,3291545600.0,64.0,1.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,1049600.0,64.0,2.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,3214400.0,64.0,2.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,12857600.0,64.0,2.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,51430400.0,64.0,2.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,205721600.0,64.0,2.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,822886400.0,64.0,2.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,262400.0,64.0,5.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,590400.0,64.0,5.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,2361600.0,64.0,5.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,9446400.0,64.0,5.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,34702400.0,64.0,5.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,132840000.0,64.0,5.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,14747200.0,64.0,1.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,84943872.0,64.0,1.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,398764288.0,64.0,1.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",3.0,1720113408.0,64.0,1.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",3.0,7137644800.0,64.0,1.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",3.0,29072040192.0,64.0,1.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,5308992.0,64.0,2.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,21235968.0,64.0,2.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,99691072.0,64.0,2.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",3.0,430028352.0,64.0,2.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",3.0,1784411200.0,64.0,2.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",3.0,7268010048.0,64.0,2.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,589888.0,64.0,5.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,5308992.0,64.0,5.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,21235968.0,64.0,5.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",3.0,71376448.0,64.0,5.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",3.0,285505792.0,64.0,5.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",3.0,1194523200.0,64.0,5.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,6428800.0,128.0,1.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,25715200.0,128.0,1.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,102860800.0,128.0,1.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,411443200.0,128.0,1.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,1645772800.0,128.0,1.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,6583091200.0,128.0,1.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,2099200.0,128.0,2.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,6428800.0,128.0,2.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,25715200.0,128.0,2.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,102860800.0,128.0,2.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,411443200.0,128.0,2.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,1645772800.0,128.0,2.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",1.0,524800.0,128.0,5.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",1.0,1180800.0,128.0,5.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",1.0,4723200.0,128.0,5.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",1.0,18892800.0,128.0,5.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",1.0,69404800.0,128.0,5.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",1.0,265680000.0,128.0,5.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,29494400.0,128.0,1.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,169887744.0,128.0,1.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,797528576.0,128.0,1.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",3.0,3440226816.0,128.0,1.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",3.0,14275289600.0,128.0,1.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",3.0,58144080384.0,128.0,1.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,10617984.0,128.0,2.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,42471936.0,128.0,2.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,199382144.0,128.0,2.0
56.0,1024.0,"torch.Size([1, 1024, 56, 56])",3.0,860056704.0,128.0,2.0
112.0,1024.0,"torch.Size([1, 1024, 112, 112])",3.0,3568822400.0,128.0,2.0
224.0,1024.0,"torch.Size([1, 1024, 224, 224])",3.0,14536020096.0,128.0,2.0
7.0,1024.0,"torch.Size([1, 1024, 7, 7])",3.0,1179776.0,128.0,5.0
14.0,1024.0,"torch.Size([1, 1024, 14, 14])",3.0,10617984.0,128.0,5.0
28.0,1024.0,"torch.Size([1, 1024, 28, 28])",3.0,42471936.0,128.0,5.0
