latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,input_size,in_channel,out_channel,kernel_size,stride,img_size
7.200390100479127e-05,1295777792.0,1295777792.0,102760448.0,102760448.0,8448.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,256.0,1.0,1.0,112.0
6.993152201175689e-05,1348206592.0,1348206592.0,411041792.0,411041792.0,8448.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,256.0,1.0,1.0,224.0
4.791058599948883e-05,1274806272.0,1274806272.0,131072.0,131072.0,8448.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,256.0,1.0,2.0,7.0
5.268864333629608e-05,1274806272.0,1274806272.0,401408.0,401408.0,8448.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,256.0,1.0,2.0,14.0
4.786737263202667e-05,1274806272.0,1274806272.0,1605632.0,1605632.0,8448.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,256.0,1.0,2.0,28.0
6.932914257049561e-05,1274806272.0,1274806272.0,6422528.0,6422528.0,8448.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,256.0,1.0,2.0,56.0
7.172003388404846e-05,1295777792.0,1295777792.0,25690112.0,25690112.0,8448.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,256.0,1.0,2.0,112.0
6.831288337707519e-05,1295777792.0,1295777792.0,102760448.0,102760448.0,8448.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,256.0,1.0,2.0,224.0
4.772767424583435e-05,1274806272.0,1274806272.0,32768.0,32768.0,8448.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,256.0,1.0,5.0,7.0
5.283243954181671e-05,1274806272.0,1274806272.0,73728.0,73728.0,8448.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,256.0,1.0,5.0,14.0
4.831776022911072e-05,1274806272.0,1274806272.0,294912.0,294912.0,8448.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,256.0,1.0,5.0,28.0
5.991645157337189e-05,1274806272.0,1274806272.0,1179648.0,1179648.0,8448.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,256.0,1.0,5.0,56.0
7.141605019569396e-05,1295777792.0,1295777792.0,4333568.0,4333568.0,8448.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,256.0,1.0,5.0,112.0
6.014108657836914e-05,1295777792.0,1295777792.0,16588800.0,16588800.0,8448.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,256.0,1.0,5.0,224.0
5.2825361490249636e-05,1274806272.0,1274806272.0,1843200.0,1843200.0,73984.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,256.0,3.0,1.0,7.0
5.403198301792145e-05,1274806272.0,1274806272.0,10616832.0,10616832.0,73984.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,256.0,3.0,1.0,14.0
0.0003097105771303177,1295777792.0,1295777792.0,49840128.0,49840128.0,73984.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,256.0,3.0,1.0,28.0
7.184818387031555e-05,1297874944.0,1297874944.0,214990848.0,214990848.0,73984.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,256.0,3.0,1.0,56.0
6.248690187931061e-05,1297874944.0,1297874944.0,892108800.0,892108800.0,73984.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,256.0,3.0,1.0,112.0
5.8323144912719727e-05,1350303744.0,1350303744.0,3633610752.0,3633610752.0,73984.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,256.0,3.0,1.0,224.0
4.0893629193305967e-05,1276903424.0,1276903424.0,663552.0,663552.0,73984.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,256.0,3.0,2.0,7.0
4.4180825352668765e-05,1276903424.0,1276903424.0,2654208.0,2654208.0,73984.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,256.0,3.0,2.0,14.0
0.00023893117904663085,1274806272.0,1274806272.0,12460032.0,12460032.0,73984.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,256.0,3.0,2.0,28.0
6.210878491401673e-05,1276903424.0,1276903424.0,53747712.0,53747712.0,73984.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,256.0,3.0,2.0,56.0
4.842765629291535e-05,1295777792.0,1295777792.0,223027200.0,223027200.0,73984.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,256.0,3.0,2.0,112.0
